,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
2453,Smartshading AI,MEDICAL,4.3,0,10000000.0,10.0,Free,0.0,Everyone,Medical,"June 21, 2018",1.0,4.1 and up
2454,KBA-EZ Health Guide,MEDICAL,5.0,4,25000000.0,1.0,Free,0.0,Everyone,Medical,"August 2, 2018",1.0.72,4.0.3 and up
2455,FoothillsVet,MEDICAL,5.0,2,29000000.0,50.0,Free,0.0,Everyone,Medical,"July 11, 2018",300000.1.11,4.0.3 and up
2456,Eversense,MEDICAL,4.3,3,17000000.0,100.0,Free,0.0,Everyone,Medical,"July 18, 2018",2.0.101,4.4 and up
2457,PrimeDelivery,MEDICAL,5.0,3,53000000.0,10.0,Free,0.0,Everyone,Medical,"July 13, 2018",0.1,4.1 and up
2458,You're an Anime,MEDICAL,5.0,2,83000000.0,10.0,Free,0.0,Everyone,Medical,"July 12, 2018",1.0,5.0 and up
2459,Anatomy & Physiology Vocabulary Exam Review App,MEDICAL,5.0,1,4600000.0,5.0,Free,0.0,Everyone,Medical,"August 2, 2018",2.0,4.0 and up
2460,Drug Calculator,MEDICAL,4.3,0,4600000.0,10.0,Free,0.0,Everyone,Medical,"July 27, 2018",1.0,4.4 and up
2461,HACH Cares,MEDICAL,4.3,0,28000000.0,10.0,Free,0.0,Everyone,Medical,"July 25, 2018",300000.1.11,4.0.3 and up
2462,WAH 247,MEDICAL,4.3,0,29000000.0,1.0,Free,0.0,Everyone,Medical,"July 20, 2018",300000.1.11,4.0.3 and up
2463,CT Scan Cross Sectional Anatomy,MEDICAL,4.3,10,46000000.0,100.0,Free,0.0,Everyone,Medical,"July 19, 2018",5.0.16,4.1 and up
2465,ear super hearing,MEDICAL,4.3,0,1400000.0,5.0,Free,0.0,Everyone,Medical,"July 31, 2018",1.0 Super Ear Hearing,4.0 and up
2466,Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases,MEDICAL,4.3,1,12000000.0,10.0,Free,0.0,Everyone,Medical,"July 21, 2018",1.0.0,4.0 and up
2467,COPD GOLD 2017,MEDICAL,4.3,5,2200000.0,10.0,Free,0.0,Everyone,Medical,"July 13, 2018",1.0,4.0 and up
2468,Summit Medical Video Visits,MEDICAL,4.3,0,27000000.0,10.0,Free,0.0,Everyone,Medical,"July 12, 2018",1.1.1,4.1 and up
2469,ExtendedCare Virtual Care Room,MEDICAL,4.3,0,18000000.0,5.0,Free,0.0,Everyone,Medical,"July 30, 2018",1.0,5.1 and up
2470,Lord Fairfax EMS Council,MEDICAL,4.3,0,30000000.0,50.0,Free,0.0,Everyone,Medical,"July 17, 2018",1,4.0.3 and up
2471,MyWoundDoctor - Provider,MEDICAL,4.3,0,3500000.0,1.0,Free,0.0,Everyone,Medical,"July 27, 2018",1.2.1,5.0 and up
2472,NCLEX Multi-topic Nursing Exam Review-Quiz & notes,MEDICAL,5.0,1,4200000.0,10.0,Free,0.0,Everyone,Medical,"July 24, 2018",1.0,4.0.3 and up
2473,Warfarin Dose Calculator,MEDICAL,4.3,0,6900000.0,50.0,Free,0.0,Everyone,Medical,"July 15, 2018",3.0.0,4.1 and up
2474,Renesas PMA,MEDICAL,4.3,0,6600000.0,5.0,Free,0.0,Everyone,Medical,"July 18, 2018",1.2.9,4.4 and up
2475,Pediatric Nursing,MEDICAL,4.9,14,7000000.0,100.0,Free,0.0,Everyone,Medical,"July 13, 2018",PN.1.0,4.0.3 and up
2476,Interpret Chest X-Ray With 100 Cases,MEDICAL,4.6,5,11000000.0,100.0,Free,0.0,Everyone,Medical,"August 3, 2018",1.0,4.1 and up
2477,Basics of Orthopaedics,MEDICAL,5.0,1,5600000.0,10.0,Free,0.0,Everyone,Medical,"July 27, 2018",1.0,4.1 and up
2478,4 Paws PH,MEDICAL,4.3,1,29000000.0,5.0,Free,0.0,Everyone,Medical,"July 25, 2018",300000.1.11,4.0.3 and up
2479,high cholesterol levels,MEDICAL,4.3,0,3300000.0,100.0,Free,0.0,Everyone,Medical,"July 23, 2018",1.0,4.1 and up
2480,Thyroid Nodules,MEDICAL,4.3,0,20000000.0,10.0,Free,0.0,Everyone,Medical,"July 14, 2018",1.0,4.3 and up
2481,Training course: Learn Nursing,MEDICAL,4.3,0,7000000.0,100.0,Free,0.0,Everyone,Medical,"July 8, 2018",1.0.0,4.1 and up
2482,Familyfirst Messenger,MEDICAL,4.0,1,3300000.0,10.0,Free,0.0,Everyone,Medical,"July 12, 2018",0.1.2,4.4 and up
2483,14thStreetVet,MEDICAL,4.3,0,29000000.0,5.0,Free,0.0,Everyone,Medical,"July 16, 2018",300000.1.11,4.0.3 and up
2484,Clinic Doctor EHr,MEDICAL,5.0,2,7100000.0,5.0,Free,0.0,Everyone,Medical,"August 3, 2018",1.0.51.0.3,8.0 and up
2498,Penn State Health OnDemand,MEDICAL,4.3,0,40000000.0,50.0,Free,0.0,Everyone,Medical,"July 24, 2018",10.4.1.018_06,4.0.3 and up
2501,HHS,MEDICAL,4.3,0,4300000.0,500.0,Free,0.0,Everyone,Medical,"May 30, 2017",Initial,4.0 and up
2512,JH Blood Pressure Monitor,MEDICAL,3.7,9,2900000.0,500.0,Free,0.0,Everyone,Medical,"July 21, 2018",1.1,4.0.3 and up
2516,RT 516 VET,MEDICAL,4.3,0,29000000.0,10.0,Free,0.0,Everyone,Medical,"July 13, 2018",300000.1.11,4.0.3 and up
2518,Sway Medical,MEDICAL,5.0,3,22000000.0,100.0,Free,0.0,Everyone,Medical,"July 25, 2018",3.0.0,5.0 and up
2522,420 BZ Budeze Delivery,MEDICAL,5.0,2,11000000.0,100.0,Free,0.0,Mature 17+,Medical,"June 6, 2018",1.0.1,4.1 and up
2529,Breastfeeding Tracker Baby Log,MEDICAL,4.3,6,23000000.0,100.0,Free,0.0,Everyone,Medical,"July 20, 2018",1.3.5,5.0 and up
2533,Zen Leaf,MEDICAL,5.0,1,6100000.0,100.0,Free,0.0,Mature 17+,Medical,"March 8, 2018",2.3.5,4.1 and up
2540,PatientPORTAL by InteliChart,MEDICAL,4.3,1,32000000.0,500.0,Free,0.0,Everyone,Medical,"May 24, 2018",1.0.1,5.0 and up
3705,Video Wallpaper Show,VIDEO_PLAYERS,4.2,0,13000000.0,500.0,Free,0.0,Everyone,Video Players & Editors,"July 26, 2018",3.1,4.0.3 and up
3957,ADS-B Driver,TOOLS,5.0,2,6300000.0,100.0,Paid,1.99,Everyone,Tools,"May 15, 2018",1.19,4.4 and up
3959,B-17 Flying Fortress WWII LWP,PERSONALIZATION,4.4,7,14000000.0,100.0,Paid,1.49,Everyone,Personalization,"December 22, 2016",1.0,4.1 and up
3968,B-52 Spirits of Glory Deluxe,GAME,4.3,12,29000000.0,100.0,Paid,0.99,Everyone,Arcade,"September 2, 2017",1.5.9,2.3 and up
3984,Cardi B HD Wallpapers Lock Screen,PERSONALIZATION,4.5,2,10000000.0,500.0,Free,0.0,Mature 17+,Personalization,"June 10, 2018",1.3,4.0.3 and up
3985,CURSUM B,GAME,4.4,30,26000000.0,500.0,Paid,0.99,Everyone,Racing,"June 20, 2017",1.0.0,2.3 and up
4127,Speech Therapy: F,FAMILY,1.0,1,16000000.0,10.0,Paid,2.99,Everyone,Education,"October 7, 2016",1.0,2.3.3 and up
4130,F,TOOLS,4.2,6,4900000.0,500.0,Free,0.0,Everyone,Tools,"May 15, 2018",1.0.2,4.0 and up
4134,Norwegian For Kids & Babies F,FAMILY,4.3,0,14000000.0,5.0,Paid,39.99,Everyone,Education,"September 24, 2015",1.0,4.0 and up
4139,F Length Sim (no Ads),PHOTOGRAPHY,4.3,0,1700000.0,10.0,Paid,2.0,Everyone,Photography,"April 29, 2018",1.0,4.0.3 and up
4140,Arto: f.infrared photo,PHOTOGRAPHY,4.1,41,11000000.0,500.0,Paid,1.49,Everyone,Photography,"July 19, 2016",3.1,4.4 and up
4165,Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11000000.0,100.0,Paid,2.99,Everyone,Productivity,"September 26, 2016",2,3.2 and up
4166,G-Force Driving Assistant,SPORTS,4.6,10,6100000.0,100.0,Paid,3.88,Everyone,Sports,"April 10, 2013",1.0,2.3.3 and up
4173,"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25,15000000.0,500.0,Paid,1.49,Everyone,Personalization,"December 13, 2017",1.0.2,7.0 and up
4177,G-NetReport Pro,TOOLS,4.2,0,1600000.0,10.0,Paid,25.99,Everyone,Tools,"June 14, 2018",5.0,4.0 and up
4178,Dialer theme G Black Gold,PERSONALIZATION,4.2,33,857000.0,500.0,Paid,1.49,Everyone,Personalization,"January 1, 2016",2.0,4.0 and up
4181,G-NetWiFi Pro,TOOLS,3.3,6,1500000.0,100.0,Paid,5.99,Everyone,Tools,"June 18, 2018",3.2,4.0 and up
4192,Deaf - Hearing chat device H,COMMUNICATION,4.4,9,51000.0,500.0,Paid,3.99,Everyone,Communication,"February 8, 2017",3.6,2.2 and up
4197,most expensive app (H),FAMILY,4.3,6,1500000.0,100.0,Paid,399.99,Everyone,Entertainment,"July 16, 2018",1.0,7.0 and up
4208,"Alphabet ""H"" Passcode Lock Screen",PERSONALIZATION,4.5,2,3000000.0,100.0,Free,0.0,Everyone,Personalization,"December 21, 2017",1.0,4.1 and up
4265,J Alvarej Moji,COMMUNICATION,4.3,2,13000000.0,10.0,Paid,1.99,Everyone,Communication,"May 3, 2017",1.0,3.2 and up
4269,J Balvin Piano Tiles,GAME,4.4,6,30000000.0,500.0,Free,0.0,Everyone,Music,"May 15, 2018",2.0,4.1 and up
4273,J. Polep Plus Mobile,PRODUCTIVITY,4.3,0,44000000.0,100.0,Free,0.0,Everyone,Productivity,"March 26, 2018",1.1.4,5.0 and up
4278,BTS J-Hope Wallpaper HD for KPOP Fans,PERSONALIZATION,4.4,4,3600000.0,500.0,Free,0.0,Everyone,Personalization,"July 26, 2018",2.1.4,4.0 and up
4293,K.MOJI,FAMILY,4.8,16,8900000.0,500.0,Paid,1.99,Everyone,Entertainment,"May 9, 2017",1.0,4.2 and up
4308,K-App Mitarbeiter Galeria Kaufhof,PRODUCTIVITY,4.3,0,19000000.0,100.0,Free,0.0,Everyone,Productivity,"July 10, 2018",3.27.1,4.4 and up
4316,Anna.K Tarot,FAMILY,4.8,17,23000000.0,100.0,Paid,3.99,Mature 17+,Entertainment,"January 16, 2017",1.4.4,4.0.3 and up
4431,Obbligo o Verità? PRO,GAME,4.4,4,2900000.0,100.0,Paid,0.99,Teen,Board,"April 26, 2018","1,01",3.0 and up
4433,O'Route Orienteering,SPORTS,4.2,6,1300000.0,100.0,Paid,3.02,Everyone,Sports,"December 27, 2017",2.0.5,3.0 and up
4450,Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39000000.0,100.0,Paid,1.99,Everyone,Personalization,"May 16, 2018",1.0.0,6.0 and up
4451,Android P Home KLWP,PERSONALIZATION,4.4,0,2100000.0,5.0,Paid,1.49,Everyone,Personalization,"April 14, 2018",v2018.Apr.12.16,5.0 and up
4452,P-Home for KLWP,PERSONALIZATION,5.0,4,12000000.0,100.0,Paid,0.99,Everyone,Personalization,"May 15, 2018",v2018.May.15.14,5.0 and up
4456,[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4.0,13,19000000.0,100.0,Paid,0.99,Everyone,Personalization,"July 20, 2018",H7SubTV0.1_TV0.4,7.0 and up
4457,Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,4.4,5,1900000.0,10.0,Paid,1.49,Everyone,Personalization,"July 2, 2018",1.2.A.Exceed.Paid,6.0 and up
4458,Theme Android P Design for LG V30,PERSONALIZATION,4.2,35,5200000.0,500.0,Paid,1.49,Everyone,Personalization,"April 26, 2018",1.33,7.0 and up
4459,Pistachio Launcher for Android P 9.0,PERSONALIZATION,4.4,0,2300000.0,1.0,Paid,1.49,Everyone,Personalization,"July 11, 2018",1.0.2,4.1 and up
